id,invoice_number,supplier_gstin,supplier_name,financial_year,rendered
158,VL/F5/QR/202627/00146,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
159,VL/F5/QR/202627/00147,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
160,VL/F5/QR/202627/00148,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
161,VL/F5/QR/202627/00149,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
162,VL/F5/QR/202627/00150,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
163,VL/F5/QR/202627/00151,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
164,VL/F5/QR/202627/00152,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
165,VL/F5/QR/202627/00153,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
166,VL/F5/QR/202627/00154,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
167,VL/F5/QR/202627/00155,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
168,VL/F5/QR/202627/00156,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
169,VL/F5/QR/202627/00157,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
170,VL/F5/QR/202627/00158,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
171,VL/F5/QR/202627/00159,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
172,VL/F5/QR/202627/00160,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
173,VL/F5/QR/202627/00161,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
174,VL/F5/QR/202627/00162,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
175,VL/F5/QR/202627/00163,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
176,VL/F5/QR/202627/00164,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
177,VL/F5/QR/202627/00165,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
178,VL/F5/QR/202627/00166,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
179,VL/F5/QR/202627/00167,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
180,VL/F5/QR/202627/00168,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
181,VL/F5/QR/202627/00169,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
182,VL/F5/QR/202627/00170,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
183,VL/F5/QR/202627/00171,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
184,VL/F5/QR/202627/00172,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
185,VL/F5/QR/202627/00173,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
186,VL/F5/QR/202627/00174,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
187,VL/F5/QR/202627/00175,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
188,VL/F5/QR/202627/00176,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
189,VL/F5/QR/202627/00177,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
190,VL/F5/QR/202627/00178,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
191,VL/F5/QR/202627/00179,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
192,VL/F5/QR/202627/00180,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
193,VL/F5/QR/202627/00181,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
194,VL/F5/QR/202627/00182,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
195,VL/F5/QR/202627/00183,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
196,VL/F5/QR/202627/00184,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
197,VL/F5/QR/202627/00185,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
198,VL/F5/QR/202627/00186,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
199,VL/F5/QR/202627/00187,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
200,VL/F5/QR/202627/00188,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
201,VL/F5/QR/202627/00189,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
202,VL/F5/QR/202627/00190,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
203,VL/F5/QR/202627/00191,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
204,VL/F5/QR/202627/00192,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
205,VL/F5/QR/202627/00193,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
206,VL/F5/QR/202627/00194,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
207,VL/F5/QR/202627/00195,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
208,VL/F5/QR/202627/00196,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
209,VL/F5/QR/202627/00197,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
210,VL/F5/QR/202627/00198,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
211,VL/F5/QR/202627/00199,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
212,VL/F5/QR/202627/00200,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
213,VL/F5/QR/202627/00201,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
214,VL/F5/QR/202627/00202,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
215,VL/F5/QR/202627/00203,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
216,VL/F5/QR/202627/00204,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
217,VL/F5/QR/202627/00205,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
218,VL/F5/QR/202627/00206,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
219,VL/F5/QR/202627/00207,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
220,VL/F5/QR/202627/00208,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
221,VL/F5/QR/202627/00209,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
222,VL/F5/QR/202627/00210,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
223,VL/F5/QR/202627/00211,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
224,VL/F5/QR/202627/00212,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
225,VL/F5/QR/202627/00213,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
226,VL/F5/QR/202627/00214,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
227,VL/F5/QR/202627/00215,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
228,VL/F5/QR/202627/00216,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
229,VL/F5/QR/202627/00217,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
230,VL/F5/QR/202627/00218,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
231,VL/F5/QR/202627/00219,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
232,VL/F5/QR/202627/00220,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
233,VL/F5/QR/202627/00221,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,t
234,VL/F5/QR/202627/00222,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
235,VL/F5/QR/202627/00223,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
236,VL/F5/QR/202627/00224,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
237,VL/F5/QR/202627/00225,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
238,VL/F5/QR/202627/00226,32AAIFI0458G1ZN,VOLTLYNC PRIVATE LIMITED,2026-27,f
